fieldX;fieldY;towerLevel;towerComplete;figure
0;0;0;False;False
0;1;0;False;False
0;2;0;False;False
0;3;0;False;False
0;4;0;False;False
1;0;0;False;False
1;1;0;False;False
1;2;0;False;False
1;3;0;False;False
1;4;0;False;False
2;0;0;False;False
2;1;0;False;False
2;2;0;False;False
2;3;0;False;False
2;4;0;False;False
3;0;2;False;True
3;1;2;False;True
3;2;0;False;True
3;3;0;False;False
3;4;0;False;False
4;0;3;False;False
4;1;0;False;True
4;2;0;False;False
4;3;0;False;False
4;4;0;False;False
