name;levelOfIntelligence;color;amountOfFigures;amountOfTurns;team;nrOfTiles
2;HUMAN;0x0000ffff;2;0;2;18, 19, 17, 13
1;HUMAN;0xff0000ff;2;0;1;18, 19, 17, 13
