name;levelOfIntelligence;color;amountOfFigures;amountOfTurns;team;numberOfTiles
2;HUMAN;0x0000ffff;1;0;2;18, 21, 20, 14
1;HUMAN;0xff0000ff;3;0;1;18, 21, 20, 14
